date,startup,vertical,subvertical,city,investors,round,amount,year,month,quarter,month_year,funding_range,investor_count
2020-09-01,BYJU’S,E-Tech,E-learning,Bengaluru,Tiger Global Management,Private Equity,1650.0,2020,9,3,2020-09,>500Cr,1
2020-01-13,Shuttl,Transportation,App based shuttle service,Gurugram,Susquehanna Growth Equity,Series C,66.3992505,2020,1,1,2020-01,50-100Cr,1
2020-09-01,Mamaearth,eCommerce,Retailer of baby and toddler products,Bengaluru,Sequoia Capital India,Series B,151.460595,2020,9,3,2020-09,100-500Cr,1
2020-02-01,https://www.wealthbucket.in/,Fintech,Online Investment,Delhi,Vinod Khatumal,Series A,24.75,2020,2,1,2020-02,10-50Cr,1
2020-02-01,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Round,14.85,2020,2,1,2020-02,10-50Cr,1
2020-01-13,Pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,74.25,2020,1,1,2020-01,50-100Cr,1
2020-10-01,Zomato,Hospitality,Online Food Delivery Platform,Gurugram,Ant Financial,Private Equity,1237.5,2020,10,4,2020-10,>500Cr,1
2019-12-12,Ecozen,Tech,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,49.5,2019,12,4,2019-12,10-50Cr,1
2019-06-12,CarDekho,eCommerce,Automobile,Gurugram,Ping An Global Voyager Fund,Series D,577.5,2019,6,2,2019-06,>500Cr,1
2019-03-12,Dhruva Space,Aerospace,Satellite Communication,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,412.5,2019,3,1,2019-03,100-500Cr,2
2019-12-13,Rivigo,Tech,Logistics Services and Solutions,Gurugram,"SAIF Partners, Spring Canter Investment Ltd.",Series F,165.0,2019,12,4,2019-12,100-500Cr,2
2019-12-17,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,99.0,2019,12,4,2019-12,50-100Cr,3
2019-12-16,Licious,eCommerce,Online Meat And Seafood Ordering Startup,Bengaluru,Vertex Growth Fund,Series E,247.5,2019,12,4,2019-12,100-500Cr,1
2019-12-14,Trell,Video,Experience Discovery Platform,Bengaluru,Ruizheng Investment,Seed Round,16.5,2019,12,4,2019-12,10-50Cr,1
2019-11-12,Rein Games,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed Round,412.5,2019,11,4,2019-11,100-500Cr,1
2019-12-20,Lenskart.com,eCommerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,1905.75,2019,12,4,2019-12,>500Cr,1
2019-11-13,Freshworks,Software,Business and customer engagement tools,San Francisco,"Sequoia, CapitalG, Accel",Series H,1237.5,2019,11,4,2019-11,>500Cr,3
2019-11-14,Misters,Health,Men's Health and Wellness brand,Gurugram,"Sauce.vc, Rainforest Ventures",Series B,4.0095,2019,11,4,2019-11,1-10Cr,2
2019-11-13,Sunstone Eduversity Pvt. Ltd,EdTech,Elearning,Gurugram,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,12.375,2019,11,4,2019-11,10-50Cr,3
2019-11-17,Burger Singh,Food & Beverage,Indian Burger Brand,Gurugram,RB Investments,Venture,0.0,2019,11,4,2019-11,,1
2019-11-18,Healthians,Health,Healthcare services,Gurugram,"DG Daiwa Ventures, DG Incubation",Series B,99.0,2019,11,4,2019-11,50-100Cr,2
2019-11-15,Ninjacart,B2B Marketing,Agritech,Bengaluru,Trifecta Capital Advisors,Debt,214.5,2019,11,4,2019-11,100-500Cr,1
2019-11-20,Aye Finance,Fintech,Financial Services To MSMEs,Gurugram,FinTech,Debt,143.64293625,2019,11,4,2019-11,100-500Cr,1
2019-12-11,SuperGaming,Video Games,Social gaming platform,Pune,Dream Incubator,Seed,10.725,2019,12,4,2019-12,10-50Cr,1
2019-11-20,Clumio,SaaS,Recovery software,San Jose,"Altimeter Capital, Sutter Hill Ventures",Series C,1113.75,2019,11,4,2019-11,>500Cr,2
2019-11-11,eBikeGo,Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed,2.475,2019,11,4,2019-11,1-10Cr,1
